=== OPNsense API Schema Probe — 2026-04-07T16:28:09Z ===
Host: https://10.6.239.114
Version: OPNsense 26.1.5 (amd64)
Output: /home/by-systems/.openclaw/workspace/repos/lib-opnsense/docs/api/data/26.1.5

GET  OK           /api/firewall/alias/get_item                            fw-alias
POST OK           /api/firewall/alias/search_item                         fw-alias
GET  OK           /api/firewall/filter/get_rule                           fw-filter-rule
POST OK           /api/firewall/filter/search_rule                        fw-filter-rule
GET  OK           /api/firewall/source_nat/get_rule                       fw-snat-rule
POST OK           /api/firewall/source_nat/search_rule                    fw-snat-rule
GET  OK           /api/firewall/d_nat/get_rule                            fw-dnat-rule
POST OK           /api/firewall/d_nat/search_rule                         fw-dnat-rule
GET  OK           /api/firewall/one_to_one/get_rule                       fw-1to1-rule
POST OK           /api/firewall/one_to_one/search_rule                    fw-1to1-rule
GET  OK           /api/firewall/npt/get_rule                              fw-npt-rule
POST OK           /api/firewall/npt/search_rule                           fw-npt-rule
GET  OK           /api/firewall/group/get_item                            fw-group
POST OK           /api/firewall/group/search_item                         fw-group
GET  OK           /api/firewall/category/get_item                         fw-category
POST OK           /api/firewall/category/search_item                      fw-category
GET  OK           /api/interfaces/vlan_settings/get_item                  if-vlan
POST OK           /api/interfaces/vlan_settings/search_item               if-vlan
GET  OK           /api/interfaces/bridge_settings/get_item                if-bridge
POST OK           /api/interfaces/bridge_settings/search_item             if-bridge
GET  OK           /api/interfaces/vip_settings/get_item                   if-vip
POST OK           /api/interfaces/vip_settings/search_item                if-vip
GET  OK           /api/interfaces/loopback_settings/get_item              if-loopback
POST OK           /api/interfaces/loopback_settings/search_item           if-loopback
GET  OK           /api/interfaces/lagg_settings/get_item                  if-lagg
POST OK           /api/interfaces/lagg_settings/search_item               if-lagg
GET  OK           /api/interfaces/gre_settings/get_item                   if-gre
POST OK           /api/interfaces/gre_settings/search_item                if-gre
GET  OK           /api/interfaces/gif_settings/get_item                   if-gif
POST OK           /api/interfaces/gif_settings/search_item                if-gif
GET  OK           /api/interfaces/vxlan_settings/get_item                 if-vxlan
POST OK           /api/interfaces/vxlan_settings/search_item              if-vxlan
GET  OK           /api/interfaces/neighbor_settings/get_item              if-neighbor
POST OK           /api/interfaces/neighbor_settings/search_item           if-neighbor
GET  OK           /api/interfaces/overview/interfaces_info                if-overview
GET  OK           /api/interfaces/settings/get                            if-settings
GET  OK           /api/routes/routes/getroute                             route
POST OK           /api/routes/routes/searchroute                          route
GET  OK           /api/routes/gateway/status                              gw-status
GET  OK           /api/routing/settings/get_gateway                       routing-gw
POST OK           /api/routing/settings/search_gateway                    routing-gw
GET  OK           /api/routing/settings/get                               routing-settings
GET  OK           /api/unbound/settings/get_forward                       ub-forward
POST OK           /api/unbound/settings/search_forward                    ub-forward
GET  OK           /api/unbound/settings/get_host_override                 ub-host-override
POST OK           /api/unbound/settings/search_host_override              ub-host-override
GET  OK           /api/unbound/settings/get_host_alias                    ub-host-alias
POST OK           /api/unbound/settings/search_host_alias                 ub-host-alias
GET  OK           /api/unbound/settings/get_acl                           ub-acl
POST OK           /api/unbound/settings/search_acl                        ub-acl
GET  OK           /api/unbound/settings/get_dnsbl                         ub-dnsbl
POST OK           /api/unbound/settings/search_dnsbl                      ub-dnsbl
GET  OK           /api/unbound/settings/get                               ub-settings
GET  OK           /api/unbound/service/status                             ub-service
GET  OK           /api/unbound/diagnostics/stats                          ub-diag-stats
GET  OK           /api/kea/dhcpv4/get_subnet                              kea4-subnet
POST OK           /api/kea/dhcpv4/search_subnet                           kea4-subnet
GET  OK           /api/kea/dhcpv4/get_reservation                         kea4-reservation
POST OK           /api/kea/dhcpv4/search_reservation                      kea4-reservation
GET  OK           /api/kea/dhcpv4/get_peer                                kea4-peer
POST OK           /api/kea/dhcpv4/search_peer                             kea4-peer
GET  OK           /api/kea/dhcpv4/get                                     kea4-global
GET  OK           /api/kea/dhcpv6/get_subnet                              kea6-subnet
POST OK           /api/kea/dhcpv6/search_subnet                           kea6-subnet
GET  OK           /api/kea/dhcpv6/get_reservation                         kea6-reservation
POST OK           /api/kea/dhcpv6/search_reservation                      kea6-reservation
GET  OK           /api/kea/dhcpv6/get                                     kea6-global
GET  OK           /api/kea/ctrl_agent/get                                 kea-ctrl-agent
GET  OK           /api/kea/service/status                                 kea-service
GET  OK           /api/wireguard/server/get_server                        wg-server
POST OK           /api/wireguard/server/search_server                     wg-server
GET  OK           /api/wireguard/client/get_client                        wg-client
POST OK           /api/wireguard/client/search_client                     wg-client
GET  OK           /api/wireguard/general/get                              wg-general
GET  OK           /api/wireguard/service/status                           wg-service
GET  OK           /api/wireguard/service/show                             wg-show
GET  OK           /api/openvpn/instances/get                              ovpn-instance
POST OK           /api/openvpn/instances/search                           ovpn-instance
GET  OK           /api/openvpn/client_overwrites/get                      ovpn-cso
POST OK           /api/openvpn/client_overwrites/search                   ovpn-cso
GET  OK           /api/openvpn/service/search_sessions                    ovpn-sessions
GET  OK           /api/openvpn/service/search_routes                      ovpn-routes
GET  OK           /api/ipsec/connections/get_connection                   ipsec-conn
POST OK           /api/ipsec/connections/search_connection                ipsec-conn
GET  OK           /api/ipsec/connections/get_child                        ipsec-child
POST OK           /api/ipsec/connections/search_child                     ipsec-child
GET  OK           /api/ipsec/connections/get_local                        ipsec-local
POST OK           /api/ipsec/connections/search_local                     ipsec-local
GET  OK           /api/ipsec/connections/get_remote                       ipsec-remote
POST OK           /api/ipsec/connections/search_remote                    ipsec-remote
GET  OK           /api/ipsec/key_pairs/get_item                           ipsec-keypair
POST OK           /api/ipsec/key_pairs/search_item                        ipsec-keypair
GET  OK           /api/ipsec/pre_shared_keys/get_item                     ipsec-psk
POST OK           /api/ipsec/pre_shared_keys/search_item                  ipsec-psk
GET  OK           /api/ipsec/pools/get                                    ipsec-pool
POST OK           /api/ipsec/pools/search                                 ipsec-pool
GET  OK           /api/ipsec/vti/get                                      ipsec-vti
POST OK           /api/ipsec/vti/search                                   ipsec-vti
GET  OK           /api/ipsec/connections/is_enabled                       ipsec-enabled
GET  OK           /api/ipsec/service/status                               ipsec-service
GET  OK           /api/ipsec/settings/get                                 ipsec-settings
GET  OK           /api/ids/settings/get                                   ids-settings
GET  OK           /api/ids/settings/get_policy                            ids-policy
POST OK           /api/ids/settings/search_policy                         ids-policy
GET  OK           /api/ids/settings/get_user_rule                         ids-user-rule
POST OK           /api/ids/settings/search_user_rule                      ids-user-rule
GET  OK           /api/ids/settings/get_policy_rule                       ids-policy-rule
POST OK           /api/ids/settings/search_policy_rule                    ids-policy-rule
GET  OK           /api/ids/service/status                                 ids-service
GET  OK           /api/trafficshaper/settings/get_pipe                    ts-pipe
POST OK           /api/trafficshaper/settings/search_pipes                ts-pipe
GET  OK           /api/trafficshaper/settings/get_queue                   ts-queue
POST OK           /api/trafficshaper/settings/search_queues               ts-queue
GET  OK           /api/trafficshaper/settings/get_rule                    ts-rule
POST OK           /api/trafficshaper/settings/search_rules                ts-rule
GET  OK           /api/trafficshaper/settings/get                         ts-settings
GET  OK           /api/trafficshaper/service/statistics                   ts-stats
GET  OK           /api/syslog/settings/get_destination                    syslog-dest
POST OK           /api/syslog/settings/search_destinations                syslog-dest
GET  OK           /api/syslog/settings/get                                syslog-settings
GET  OK           /api/syslog/service/status                              syslog-service
GET  OK           /api/cron/settings/get_job                              cron-job
POST OK           /api/cron/settings/search_jobs                          cron-job
GET  OK           /api/cron/settings/get                                  cron-settings
GET  OK           /api/auth/user/get                                      auth-user
POST OK           /api/auth/user/search                                   auth-user
GET  OK           /api/auth/group/get                                     auth-group
POST OK           /api/auth/group/search                                  auth-group
GET  OK           /api/auth/priv/get                                      auth-priv
GET  OK           /api/trust/ca/get                                       trust-ca
POST OK           /api/trust/ca/search                                    trust-ca
GET  OK           /api/trust/cert/get                                     trust-cert
POST OK           /api/trust/cert/search                                  trust-cert
GET  OK           /api/trust/crl/search                                   trust-crl
GET  OK           /api/trust/settings/get                                 trust-settings
GET  OK           /api/captiveportal/settings/get_zone                    cp-zone
POST OK           /api/captiveportal/settings/search_zones                cp-zone
GET  OK           /api/captiveportal/session/zones                        cp-session-zones
GET  OK           /api/captiveportal/service/status                       cp-service
GET  OK           /api/dnsmasq/settings/get_host                          dnsmasq-host
POST OK           /api/dnsmasq/settings/search_host                       dnsmasq-host
GET  OK           /api/dnsmasq/settings/get_domain                        dnsmasq-domain
POST OK           /api/dnsmasq/settings/search_domain                     dnsmasq-domain
GET  OK           /api/dnsmasq/settings/get_range                         dnsmasq-range
POST OK           /api/dnsmasq/settings/search_range                      dnsmasq-range
GET  OK           /api/dnsmasq/settings/get_option                        dnsmasq-option
POST OK           /api/dnsmasq/settings/search_option                     dnsmasq-option
GET  OK           /api/dnsmasq/settings/get_boot                          dnsmasq-boot
POST OK           /api/dnsmasq/settings/search_boot                       dnsmasq-boot
GET  OK           /api/dnsmasq/settings/get_tag                           dnsmasq-tag
POST OK           /api/dnsmasq/settings/search_tag                        dnsmasq-tag
GET  OK           /api/dnsmasq/settings/get                               dnsmasq-settings
GET  OK           /api/dnsmasq/service/status                             dnsmasq-service
GET  OK           /api/dhcrelay/settings/get_dest                         dhcrelay-dest
POST OK           /api/dhcrelay/settings/search_dest                      dhcrelay-dest
GET  OK           /api/dhcrelay/settings/get_relay                        dhcrelay-relay
POST OK           /api/dhcrelay/settings/search_relay                     dhcrelay-relay
GET  OK           /api/dhcrelay/settings/get                              dhcrelay-settings
GET  OK           /api/monit/settings/get_alert                           monit-alert
POST OK           /api/monit/settings/search_alert                        monit-alert
GET  OK           /api/monit/settings/get_service                         monit-service
POST OK           /api/monit/settings/search_service                      monit-service
GET  OK           /api/monit/settings/get_test                            monit-test
POST OK           /api/monit/settings/search_test                         monit-test
GET  OK           /api/monit/settings/get                                 monit-settings
GET  OK           /api/monit/service/status                               monit-svc-status
GET  HTTP_404     /api/chrony/general/get                                 chrony-general
GET  HTTP_404     /api/chrony/service/status                              chrony-service
GET  HTTP_404     /api/lldpd/general/get                                  lldpd-general
GET  HTTP_404     /api/lldpd/service/status                               lldpd-service
GET  OK           /api/core/system/status                                 core-system
GET  OK           /api/core/firmware/info                                 core-firmware-info
GET  OK           /api/core/firmware/status                               core-firmware-status
GET  OK           /api/core/firmware/running                              core-firmware-running
GET  OK           /api/core/backup/providers                              core-backup-providers
GET  OK           /api/core/tunables/get_item                             core-tunable
POST OK           /api/core/tunables/search_item                          core-tunable
GET  OK           /api/core/tunables/get                                  core-tunables
GET  OK           /api/core/hasync/get                                    core-hasync
GET  OK           /api/core/snapshots/is_supported                        core-zfs-supported
POST OK           /api/core/snapshots/search                              core-snapshots
GET  OK           /api/core/service/search                                core-services
GET  OK           /api/diagnostics/system/system_information              diag-sysinfo
GET  OK           /api/diagnostics/system/system_resources                diag-resources
GET  OK           /api/diagnostics/system/system_time                     diag-time
GET  OK           /api/diagnostics/system/system_temperature              diag-temp
GET  OK           /api/diagnostics/system/system_disk                     diag-disk
GET  OK           /api/diagnostics/system/memory                          diag-memory
GET  OK           /api/diagnostics/interface/get_arp                      diag-arp
GET  OK           /api/diagnostics/interface/get_ndp                      diag-ndp
GET  OK           /api/diagnostics/interface/get_interface_config         diag-ifconfig
GET  OK           /api/diagnostics/interface/get_interface_names          diag-ifnames
GET  OK           /api/diagnostics/interface/get_interface_statistics     diag-ifstats
GET  OK           /api/diagnostics/interface/get_routes                   diag-routes
GET  OK           /api/diagnostics/interface/get_vip_status               diag-vip
GET  OK           /api/diagnostics/interface/get_protocol_statistics      diag-proto
GET  OK           /api/diagnostics/firewall/stats                         diag-fw-stats
GET  OK           /api/diagnostics/firewall/list_rule_ids                 diag-fw-ruleids
GET  OK           /api/diagnostics/netflow/is_enabled                     diag-netflow-enabled
GET  OK           /api/diagnostics/netflow/status                         diag-netflow-status

=== Summary ===
Total: 200 | OK: 196 | Failed: 4
JSON output: /home/by-systems/.openclaw/workspace/repos/lib-opnsense/docs/api/data/26.1.5
Log: /home/by-systems/.openclaw/workspace/repos/lib-opnsense/docs/api/data/26.1.5/probe-2026-04-07T16:28:09Z.log
